Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
60,10/1/16 9:00,10/1/16 10:00,hometown 1,hometown 1,43.507303,16.441423,undergrad 1,undergrad 1,41.823989,-71.412834,1,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 2,hometown 2,45.438496,10.992412,undergrad 2,undergrad 2,45.886548,11.045237,2,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 3,hometown 3,52.238524,-0.902493,undergrad 3,undergrad 3,-34.424394,150.89385,3,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 4,hometown 4,22.279328,114.162813,undergrad 4,undergrad 4,22.279328,114.162813,4,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 5,hometown 5,41.875562,-87.624421,undergrad 5,undergrad 5,42.268157,-83.731229,5,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 6,hometown 6,37.692236,-97.337545,undergrad 6,undergrad 6,38.971938,-95.23595,6,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 7,hometown 7,-34.607562,-58.437076,undergrad 7,undergrad 7,-34.607562,-58.437076,7,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 8,hometown 8,58.014965,56.246723,undergrad 8,undergrad 8,55.750446,37.617494,8,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 9,hometown 9,18.938771,72.835335,undergrad 9,undergrad 9,18.938771,72.835335,9,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 10,hometown 10,39.101454,-84.51246,undergrad 10,undergrad 10,37.444329,-122.159847,10,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 11,hometown 11,40.416702,-86.875287,undergrad 11,undergrad 11,40.425869,-86.908066,11,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 12,hometown 12,39.084005,-77.152757,undergrad 12,undergrad 12,32.527002,-85.436748,12,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 13,hometown 13,25.03752,121.56368,undergrad 13,undergrad 13,25.03752,121.56368,13,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 14,hometown 14,16.508759,80.61851,undergrad 14,undergrad 14,29.86935,77.890212,14,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 15,hometown 15,40.650104,-73.949582,undergrad 15,undergrad 15,42.01287,-73.90819,15,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 16,hometown 16,35.179953,129.075236,undergrad 16,undergrad 16,37.566679,126.978291,16,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 17,hometown 17,32.501019,-116.964663,undergrad 17,undergrad 17,32.501019,-116.964663,17,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 19,hometown 19,52.151816,4.481109,undergrad 19,undergrad 19,52.151816,4.481109,18,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 20,hometown 20,38.760481,-92.561787,undergrad 20,undergrad 20,36.155681,-95.992911,19,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 21,hometown 21,33.913708,-98.493387,undergrad 21,undergrad 21,33.577863,-101.855166,20,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 22,hometown 22,39.78373,-100.445882,undergrad 22,undergrad 22,34.053691,-118.242767,21,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 23,hometown 23,34.093214,-118.319612,undergrad 23,undergrad 23,33.787257,-117.850309,22,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 24,hometown 24,-22.911014,-43.209373,undergrad 24,undergrad 24,-22.911014,-43.209373,23,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 25,hometown 25,-1.283253,36.817245,undergrad 25,undergrad 25,45.421106,-75.690308,24,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 26,hometown 26,32.080481,34.780527,undergrad 26,undergrad 26,31.778345,35.225079,25,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 27,hometown 27,35.780398,-78.639099,undergrad 27,undergrad 27,35.913154,-79.05578,26,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 28,hometown 28,55.028217,82.923451,undergrad 28,undergrad 28,55.028217,82.923451,27,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 29,hometown 29,39.113456,-94.626497,undergrad 29,undergrad 29,29.949932,-90.070116,28,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 30,hometown 30,37.804456,-122.271356,undergrad 30,undergrad 30,43.082179,-73.785392,29,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 31,hometown 31,35.700618,51.401378,undergrad 31,undergrad 31,35.700618,51.401378,30,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 32,hometown 32,40.712728,-74.006015,undergrad 32,undergrad 32,40.712728,-74.006015,31,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 33,hometown 33,43.661028,-70.25486,undergrad 33,undergrad 33,38.833958,-104.825349,32,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 34,hometown 34,42.953765,-81.229153,undergrad 34,undergrad 34,43.653963,-79.387207,33,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 35,hometown 35,31.778345,35.225079,undergrad 35,undergrad 35,31.778345,35.225079,34,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 36,hometown 36,40.805378,-74.203757,undergrad 36,undergrad 36,43.157285,-77.615214,35,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 37,hometown 37,40.349274,-74.659296,undergrad 37,undergrad 37,34.096676,-117.719779,36,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 38,hometown 38,46.066423,11.12576,undergrad 38,undergrad 38,51.489334,-0.144055,37,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 39,hometown 39,40.886016,-74.007257,undergrad 39,undergrad 39,42.360253,-71.058291,38,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 40,hometown 40,43.157285,-77.615214,undergrad 40,undergrad 40,43.703622,-72.288666,39,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 41,hometown 41,53.479489,-2.245115,undergrad 41,undergrad 41,51.453802,-2.597298,40,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 42,hometown 42,49.067771,0.313853,undergrad 42,undergrad 42,49.440459,1.093966,41,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 43,hometown 43,42.360253,-71.058291,undergrad 43,undergrad 43,43.630786,-74.465928,42,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 44,hometown 44,52.420559,10.786168,undergrad 44,undergrad 44,52.264658,10.523607,43,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 45,hometown 45,51.507322,-0.127647,undergrad 45,undergrad 45,52.953416,-1.149277,44,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 46,hometown 46,25.774266,-80.193659,undergrad 46,undergrad 46,25.774266,-80.193659,45,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 47,hometown 47,52.215646,5.963948,undergrad 47,undergrad 47,52.151816,4.481109,46,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 48,hometown 48,34.053691,-118.242767,undergrad 48,undergrad 48,34.147645,-118.144478,47,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 49,hometown 49,39.952724,-75.163526,undergrad 49,undergrad 49,41.562318,-72.650906,48,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 50,hometown 50,22.567746,88.347602,undergrad 50,undergrad 50,1.340853,103.878447,49,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 51,hometown 51,51.828368,7.279141,undergrad 51,undergrad 51,52.266837,8.049741,50,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 52,hometown 52,42.638426,12.674297,undergrad 52,undergrad 52,42.638426,12.674297,51,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 54,hometown 54,53.550341,10.000654,undergrad 54,undergrad 54,53.07582,8.807165,52,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 55,hometown 55,40.621455,-79.152535,undergrad 55,undergrad 55,39.284749,-76.620475,53,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 56,hometown 56,40.712728,-74.006015,undergrad 56,undergrad 56,38.895009,-77.036563,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 57,undergrad 57,41.823989,-71.412834,postbacc1,postbacc1,41.308214,-72.925052,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 58,undergrad 58,-34.424394,150.89385,postbacc2,postbacc2,-37.814218,144.963161,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 59,undergrad 59,22.279328,114.162813,postbacc3,postbacc3,52.47754,-1.894053,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 60,undergrad 60,42.268157,-83.731229,postbacc4,postbacc4,39.952724,-75.163526,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 61,undergrad 61,-34.607562,-58.437076,postbacc5,postbacc5,-34.607562,-58.437076,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 62,undergrad 62,55.750446,37.617494,postbacc6,postbacc6,55.682893,37.622377,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 63,undergrad 63,18.938771,72.835335,postbacc7,postbacc7,39.952724,-75.163526,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 64,undergrad 64,37.444329,-122.159847,postbacc8,postbacc8,40.712728,-74.006015,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 65,undergrad 65,25.03752,121.56368,postbacc9,postbacc9,25.03752,121.56368,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 66,undergrad 66,42.01287,-73.90819,postbacc10,postbacc10,40.712728,-74.006015,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 67,undergrad 67,34.053691,-118.242767,postbacc11,postbacc11,37.444329,-122.159847,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 68,undergrad 68,33.787257,-117.850309,postbacc12,postbacc12,45.520247,-122.674195,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 69,undergrad 69,29.949932,-90.070116,postbacc13,postbacc13,37.870839,-122.272864,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 70,undergrad 70,43.082179,-73.785392,postbacc14,postbacc14,37.779281,-122.419236,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 71,undergrad 71,35.700618,51.401378,postbacc15,postbacc15,35.700618,51.401378,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 72,undergrad 72,40.712728,-74.006015,postbacc16,postbacc16,40.441694,-79.990086,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 73,undergrad 73,38.833958,-104.825349,postbacc17,postbacc17,38.895009,-77.036563,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 74,undergrad 74,31.778345,35.225079,postbacc18,postbacc18,52.517037,13.38886,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 75,undergrad 75,34.096676,-117.719779,postbacc19,postbacc19,34.053691,-118.242767,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 76,undergrad 76,42.360253,-71.058291,postbacc20,postbacc20,37.779281,-122.419236,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 77,undergrad 77,43.703622,-72.288666,postbacc21,postbacc21,42.360253,-71.058291,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 78,undergrad 78,43.630786,-74.465928,postbacc22,postbacc22,38.984826,-77.094646,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 79,undergrad 79,25.774266,-80.193659,postbacc23,postbacc23,25.774266,-80.193659,54,Subscriber,,
60,10/1/16 10:00,10/1/16 11:00,undergrad 80,undergrad 80,41.562318,-72.650906,postbacc24,postbacc24,40.712728,-74.006015,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc25,postbacc25,41.308214,-72.925052,gradschool1,gradschool1,40.441694,-79.990086,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc26,postbacc26,45.886548,11.045237,gradschool2,gradschool2,45.886548,11.045237,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc27,postbacc27,-37.814218,144.963161,gradschool3,gradschool3,-37.814218,144.963161,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc28,postbacc28,52.47754,-1.894053,gradschool4,gradschool4,52.47754,-1.894053,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc29,postbacc29,39.952724,-75.163526,gradschool5,gradschool5,39.952724,-75.163526,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc30,postbacc30,38.971938,-95.23595,gradschool6,gradschool6,38.895009,-77.036563,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc31,postbacc31,-34.607562,-58.437076,gradschool7,gradschool7,50.110644,8.682092,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc32,postbacc32,55.682893,37.622377,gradschool8,gradschool8,48.85661,2.351499,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc33,postbacc33,39.952724,-75.163526,gradschool9,gradschool9,32.717421,-117.162771,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc34,postbacc34,40.712728,-74.006015,gradschool10,gradschool10,40.349274,-74.659296,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc35,postbacc35,40.425869,-86.908066,gradschool11,gradschool11,47.603832,-122.330062,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc36,postbacc36,32.527002,-85.436748,gradschool12,gradschool12,25.774266,-80.193659,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc37,postbacc37,25.03752,121.56368,gradschool13,gradschool13,53.959055,-1.081536,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc38,postbacc38,29.86935,77.890212,gradschool14,gradschool14,53.550341,10.000654,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc39,postbacc39,40.712728,-74.006015,gradschool15,gradschool15,40.441694,-79.990086,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc40,postbacc40,37.566679,126.978291,gradschool16,gradschool16,37.566679,126.978291,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc41,postbacc41,52.151816,4.481109,gradschool17,gradschool17,52.151816,4.481109,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc42,postbacc42,36.155681,-95.992911,gradschool18,gradschool18,42.360253,-71.058291,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc43,postbacc43,33.577863,-101.855166,gradschool19,gradschool19,34.422132,-119.702667,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc44,postbacc44,37.444329,-122.159847,gradschool20,gradschool20,43.703622,-72.288666,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc45,postbacc45,45.520247,-122.674195,gradschool21,gradschool21,35.530635,-92.790722,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc46,postbacc46,-22.911014,-43.209373,gradschool22,gradschool22,-22.911014,-43.209373,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc47,postbacc47,45.421106,-75.690308,gradschool23,gradschool23,38.626804,-90.19941,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc48,postbacc48,31.778345,35.225079,gradschool24,gradschool24,31.778345,35.225079,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc49,postbacc49,35.913154,-79.05578,gradschool25,gradschool25,39.16704,-86.534288,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc50,postbacc50,55.028217,82.923451,gradschool26,gradschool26,45.886548,11.045237,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc51,postbacc51,37.870839,-122.272864,gradschool27,gradschool27,37.870839,-122.272864,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc52,postbacc52,37.779281,-122.419236,gradschool28,gradschool28,42.360253,-71.058291,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc53,postbacc53,35.700618,51.401378,gradschool29,gradschool29,51.489334,-0.144055,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc54,postbacc54,40.441694,-79.990086,gradschool30,gradschool30,43.157285,-77.615214,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc55,postbacc55,38.895009,-77.036563,gradschool31,gradschool31,38.895009,-77.036563,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc56,postbacc56,43.653963,-79.387207,gradschool32,gradschool32,42.953765,-81.229153,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc57,postbacc57,52.517037,13.38886,gradschool33,gradschool33,37.870839,-122.272864,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc58,postbacc58,43.157285,-77.615214,gradschool34,gradschool34,42.3751,-71.105616,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc59,postbacc59,34.053691,-118.242767,gradschool35,gradschool35,37.870839,-122.272864,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc60,postbacc60,51.489334,-0.144055,gradschool36,gradschool36,51.752013,-1.25785,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc61,postbacc61,42.360253,-71.058291,gradschool37,gradschool37,42.360253,-71.058291,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc62,postbacc62,51.453802,-2.597298,gradschool38,gradschool38,37.870839,-122.272864,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc63,postbacc63,49.440459,1.093966,gradschool39,gradschool39,48.85661,2.351499,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc64,postbacc64,38.984826,-77.094646,gradschool40,gradschool40,34.053691,-118.242767,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc65,postbacc65,52.264658,10.523607,gradschool41,gradschool41,50.922093,6.361102,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc66,postbacc66,52.953416,-1.149277,gradschool42,gradschool42,51.752013,-1.25785,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc67,postbacc67,25.774266,-80.193659,gradschool43,gradschool43,32.527002,-85.436748,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc68,postbacc68,52.151816,4.481109,gradschool44,gradschool44,52.151816,4.481109,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc69,postbacc69,34.147645,-118.144478,gradschool45,gradschool45,37.870839,-122.272864,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc70,postbacc70,40.712728,-74.006015,gradschool46,gradschool46,41.308214,-72.925052,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc71,postbacc71,1.340853,103.878447,gradschool47,gradschool47,42.360253,-71.058291,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc72,postbacc72,52.266837,8.049741,gradschool48,gradschool48,50.735851,7.10066,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc73,postbacc73,42.638426,12.674297,gradschool49,gradschool49,35.659422,139.759139,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc74,postbacc74,38.959759,34.924965,gradschool50,gradschool50,39.920777,32.854067,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc75,postbacc75,53.07582,8.807165,gradschool51,gradschool51,52.203482,0.123582,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc76,postbacc76,39.284749,-76.620475,gradschool52,gradschool52,43.703622,-72.288666,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc77,postbacc77,38.895009,-77.036563,gradschool53,gradschool53,39.96226,-83.000707,54,Subscriber,,
60,10/1/16 11:00,10/1/16 12:00,postbacc78,postbacc78,40.441694,-79.990086,gradschool54,gradschool54,34.053691,-118.242767,54,Subscriber,,
,,,,,,,,,,,,,,